CLUB,Avg_Caps,Total_International_Goals,Avg_Height,Squad_Size
FC Krasnodar (RUS),26.0,9.0,181.5,2
FC København (DEN),30.0,5.0,187.0,1
FC Lokomotiv Moscow (RUS),68.0,4.0,191.0,1
FC Lorient (FRA),33.333333333333336,6.0,186.0,3
FC Lugano (SUI),9.0,0.0,179.0,1
FC Machida Zelvia (JPN),1.0,1.0,197.0,1
FC Nantes (FRA),15.0,0.0,173.0,1
FC Noah (ARM),3.0,0.0,192.0,1
FC Nordsjælland (DEN),17.5,4.0,180.0,2
FC Porto (POR),37.5,7.0,186.5,2
FC Rostov (RUS),37.0,13.0,187.0,1
FC Seoul (KOR),80.0,3.0,185.0,1
FC Spartak Moscow (RUS),38.0,7.0,176.0,1
FC St. Gallen (SUI),30.0,0.0,188.0,1
FC St. Pauli (GER),40.0,15.0,188.0,3
FC Stade Nyonnais (SUI),2.0,0.0,194.0,1
FC Twente (NED),53.0,3.0,183.0,1
FC Utrecht (NED),25.0,2.0,183.0,1
FC Viktoria Plzeň (CZE),18.0,1.0,176.0,2
FC Volendam (NED),43.0,16.0,179.5,2
FC Zenit St. Petersburg (RUS),11.0,2.0,177.5,2
FC Zürich (SUI),20.0,2.0,185.0,1
FCV Dender EH (BEL),56.0,17.0,181.5,2
FK Bodø/Glimt (NOR),26.333333333333332,2.0,180.66666666666666,3
Fenerbahçe SK (TUR),62.5,9.0,179.5,4
Feyenoord Rotterdam (NED),21.0,6.0,178.0,2
Fluminense FC (BRA),14.0,1.0,176.0,1
Foolad Khuzestan FC (IRN),46.0,8.0,183.0,2
Fortuna Düsseldorf (GER),15.0,5.0,190.0,1
France,0.0,0.0,180.0,2
Frosinone (ITA),1.0,1.0,183.0,1
Fulham FC (ENG),55.5,55.0,187.0,6
GD Chaves (POR),90.0,0.0,189.0,1
Galatasaray SK (TUR),40.0,8.0,182.5,4
Genoa CFC (ITA),42.0,4.0,182.5,2
Germany,0.0,0.0,180.0,0
Gil Vicente FC (POR),54.0,0.0,176.0,1
Girona FC (ESP),93.5,21.0,184.0,2
Granada CF (ESP),7.0,0.0,183.0,1
Grazer AK (AUT),5.0,0.0,177.0,1
Greece,0.0,0.0,180.0,0
Grêmio FBPA (BRA),29.0,2.0,188.5,2
Györi ETO FC (HUN),4.0,1.0,190.0,1
HEIGHT (CM),0.0,0.0,180.0,9
HNK Hajduk Split (CRO),19.0,2.0,178.0,1
Hamburger SV (GER),5.0,0.0,187.5,2
Hannover 96 (GER),15.0,3.0,185.0,1
Heart Of Midlothian FC (SCO),5.0,0.0,170.0,1
Hearts Of Oak SC (GHA),13.0,0.0,188.0,1
Hellas Verona FC (ITA),13.0,1.0,180.0,1
Holstein Kiel (GER),11.0,0.0,184.0,1
Hull City FC (ENG),41.0,1.0,176.0,1
IFK Norrköping FK (SWE),5.0,0.0,182.0,1
IR Iran,0.0,0.0,180.0,0
Inter Miami CF (USA),102.0,119.0,179.66666666666666,3
Italy,0.0,0.0,180.0,0
Iğdır FK (TUR),85.0,38.0,179.0,2
JS Kabylie (ALG),18.0,1.0,186.0,1
Japan,0.0,0.0,180.0,0
Juventus FC (ITA),39.2,59.0,178.8,5
KRC Genk (BEL),14.5,1.0,175.5,2
KS Cracovia (POL),51.0,3.0,180.0,1
KV Mechelen (BEL),3.0,0.0,189.0,1
Kasımpaşa SK (TUR),10.0,0.0,188.0,2
Kayserispor (TUR),18.0,2.0,181.0,1
Kilmarnock FC (SCO),17.0,1.0,184.0,1
Konyaspor (TUR),5.0,0.0,184.0,1
Korea Republic,0.0,0.0,180.0,0
LAFC (USA),37.0,10.0,176.33333333333334,3
Le Havre AC (FRA),16.5,0.0,189.5,2
Leeds United FC (ENG),35.666666666666664,11.0,181.0,3
Leicester City FC (ENG),62.0,48.0,185.66666666666666,3
Levante UD (ESP),104.0,0.0,184.0,1
Lille OSC (FRA),48.875,31.0,185.875,8
Liverpool FC (ENG),61.875,124.0,188.25,8
Luton Town FC (ENG),20.0,5.0,187.0,1
Maccabi Haifa FC (ISR),30.5,10.0,183.0,2
Maccabi Tel-Aviv FC (ISR),21.0,0.0,176.0,1
Malavan Anzali FC (IRN),0.0,0.0,182.0,1
Malmö FF (SWE),2.0,0.0,174.0,1
Manchester City FC (ENG),42.333333333333336,113.0,182.6,15
Manchester United FC (ENG),37.6,52.0,182.4,10
Melbourne City FC (AUS),55.666666666666664,17.0,180.0,3
Melbourne Victory FC (AUS),7.0,3.0,181.0,1
Miami FC (USA),42.5,1.0,191.5,2
Middlesbrough FC (ENG),4.0,1.0,183.5,2
Minnesota United FC (USA),126.0,31.0,181.0,1
Mjällby AIF (SWE),1.0,0.0,185.0,1
Montpellier HSC (FRA),19.0,2.0,170.0,1
Morocco,0.0,0.0,180.0,0
NATIONALITY,0.0,0.0,180.0,0
NEC Nijmegen (NED),2.0,0.0,188.0,1
NK Maribor (SVN),35.5,4.0,178.0,2
Nashville SC (USA),3.0,0.0,183.0,1
Neom SC (KSA),3.0,0.0,178.0,1
Netherlands,0.0,0.0,180.0,0
New England Revolution (USA),54.0,0.0,190.0,1
New York City FC (USA),17.333333333333332,0.0,187.0,3
New Zealand,0.0,0.0,180.0,0
Newcastle United FC (ENG),24.0,20.0,183.5,6
Norway,0.0,0.0,180.0,0
Norwich City FC (ENG),24.666666666666668,7.0,184.66666666666666,3
Nottingham Forest FC (ENG),31.666666666666668,19.0,184.66666666666666,3
OGC Nice (FRA),18.875,10.0,183.375,8
Olympiacos FC (GRE),88.5,95.0,184.5,2
Olympique Lyonnais (FRA),36.0,9.0,178.0,4
Olympique Marseille (FRA),18.833333333333332,18.0,183.33333333333334,6
Orlando City SC (USA),24.5,0.0,179.0,2
PAOK Saloniki (GRE),56.0,4.0,177.5,2
PEC Zwolle (NED),41.0,5.0,178.0,2
PFC Ludogorets Razgrad (BUL),33.0,0.0,177.0,1
PFC Montana (BUL),11.0,0.0,186.0,1
PSV Eindhoven (NED),21.333333333333332,26.0,182.83333333333334,6
Pafos FC (CYP),16.5,5.0,184.0,2
Pakhtakor Tashkent FK (UZB),28.0,1.0,187.0,1
Panathinaikos FC (GRE),21.5,2.0,185.0,2
Paris FC (FRA),5.0,0.0,185.0,1
Paris Saint-Germain (FRA),37.23076923076923,48.0,178.69230769230768,13
Parma (ITA),13.0,1.0,191.0,1
Persepolis FC (IRN),42.75,8.0,184.25,4
Persib Bandung (IDN),28.0,0.0,182.0,1
Pisa SC (ITA),40.0,2.0,183.0,1
Pogoń Szczecin (POL),27.0,1.0,182.0,1
Port FC (THA),56.0,1.0,193.0,1
Portsmouth FC (ENG),2.0,1.0,189.0,1
Pumas UNAM (MEX),12.0,3.0,191.0,1
Puskás Akadémia FC (HUN),20.0,1.0,180.0,1
Pyramids FC (EGY),16.0,8.0,180.8,5
Qatar SC (QAT),47.0,4.0,183.0,1
RB Leipzig (GER),17.0,11.0,181.5,2
RC Celta Vigo (ESP),18.0,0.0,185.0,1
RC Lens (FRA),33.0,5.0,181.33333333333334,3
RC Strasbourg (FRA),9.571428571428571,9.0,180.71428571428572,7
RCD Espanyol (ESP),34.0,1.0,187.0,1
RCD Mallorca (ESP),25.5,1.0,184.5,2
RKC Waalwijk (NED),28.5,2.0,182.0,2
RS Berkane (MAR),52.0,0.0,190.0,1
RSC Anderlecht (BEL),20.5,5.0,172.5,2
Racing Santander (ESP),6.0,1.0,173.0,1
Raja Casablanca (MAR),40.0,5.0,170.0,1
Randers FC (DEN),4.0,0.0,184.0,1
Rangers FC (SCO),21.666666666666668,8.0,184.0,3
Rayo Vallecano (ESP),18.0,0.0,187.0,2
Real Betis (ESP),60.5,36.0,179.5,6
Real Madrid C. F. (ESP),64.14285714285714,98.0,182.57142857142858,7
Real Oviedo (ESP),7.666666666666667,2.0,179.66666666666666,3
Real Salt Lake (USA),5.0,1.0,170.0,1
Real Sociedad (ESP),35.0,8.0,179.0,1
Red Bull Bragantino (BRA),5.0,0.0,185.0,1
Rotherham United FC (ENG),9.0,2.0,180.0,1
Royale Union Saint-Gilloise (BEL),9.0,3.0,191.0,2
SC Braga (POR),9.0,4.0,184.0,2
SC Corinthians (BRA),109.0,55.0,178.0,1
SC Farense (POR),11.0,1.0,176.0,1
SC Freiburg (GER),12.0,3.0,182.0,1
SC Heracles Almelo (NED),37.0,3.0,180.0,1
SC Internacional (BRA),35.0,0.0,189.0,1
SC Telstar (NED),5.5,1.0,186.0,2
SCU Torreense (POR),61.0,4.0,178.0,1
SE Palmeiras (BRA),27.571428571428573,11.0,179.85714285714286,7
SJK (FIN),6.0,1.0,193.0,1
SK Beveren (BEL),22.0,5.0,181.0,1
SL Ben ca (POR),34.857142857142854,21.0,181.71428571428572,7
SSC Napoli (ITA),93.33333333333333,129.0,181.66666666666666,3
Samsunspor (TUR),19.0,4.0,190.0,1
San Diego FC (USA),1.0,0.0,189.0,1
Santos FC (BRA),128.0,79.0,175.0,1
Sarpsborg 08 FF (NOR),7.0,0.0,180.0,1
Scotland,0.0,0.0,180.0,0
Seattle Sounders FC (USA),47.0,0.0,173.0,1
Selangor FC (MAS),43.0,3.0,183.5,2
Senegal,0.0,0.0,180.0,0
Sepahan SC (IRN),58.0,8.0,182.66666666666666,3
Servette FC (SUI),52.0,2.0,186.0,1
Sevilla FC (ESP),61.333333333333336,11.0,184.66666666666666,3
Shabab Al Ahli Club (UAE),84.0,2.0,189.0,1
Shamrock Rovers FC (IRL),45.0,0.0,186.0,1
She eld United FC (ENG),6.0,3.0,185.0,1
Southampton FC (ENG),90.0,30.0,188.0,1
Spain,0.0,0.0,180.0,1
Sparta Rotterdam (NED),8.0,0.0,174.0,1
Sporting CP (POR),17.857142857142858,15.0,184.85714285714286,7
Sporting Charleroi (BEL),3.3333333333333335,0.0,177.0,3
St Patrick's Athletic FC (IRL),1.0,0.0,190.0,1
Stade Rennais FC (FRA),51.5,49.0,180.0,4
Standard Liège (BEL),0.5,0.0,182.5,2
Stoke City FC (ENG),12.0,0.0,187.0,1
Sunderland AFC (ENG),32.75,25.0,181.25,8
Swansea City AFC (WAL),27.0,0.0,194.0,1
Switzerland,0.0,0.0,180.0,0
Sydney FC (AUS),6.0,0.0,185.0,1
São Paulo FC (BRA),19.0,1.0,180.0,1
TSG Hoffenheim (GER),6.0,2.0,178.0,1
Terengganu FC (MAS),29.0,9.0,189.0,1
Tigres UANL (MEX),10.0,3.0,182.0,1
Torino FC (ITA),32.0,0.0,184.0,1
Toronto FC (CAN),83.5,11.0,175.0,2
Tottenham Hotspur FC (ENG),33.666666666666664,11.0,186.83333333333334,6
Toulouse FC (FRA),29.0,0.0,186.0,1
Trabzonspor (TUR),11.5,0.0,176.5,2
Tractor Sazi Tabriz FC (IRN),53.75,14.0,185.25,4
US Cremonese (ITA),39.5,7.0,184.0,2
US Monastir (TUN),0.0,0.0,191.0,1
US Sassuolo (ITA),26.0,8.0,188.0,3
USA,0.0,0.0,180.0,0
USM Alger (ALG),6.5,1.0,186.5,2
Udinese (ITA),24.0,0.0,182.0,1
VVV Venlo (NED),8.0,0.0,188.0,1
Valencia CF (ESP),22.0,0.0,183.0,1
Vancouver Whitecaps FC (CAN),16.666666666666668,1.0,173.66666666666666,3
Venezia FC (ITA),12.0,0.0,185.0,1
VfB Stuttgart (GER),20.0,3.0,183.5,2
VfL Wolfsburg (GER),32.333333333333336,21.0,181.33333333333334,3
Viking Stavanger (NOR),1.0,0.0,194.0,1
Villarreal CF (ESP),37.375,47.0,186.625,8
Vitória SC (POR),16.0,1.0,180.0,1
Watford FC (ENG),21.333333333333332,7.0,178.33333333333334,3
West Ham United FC (ENG),11.333333333333334,1.0,177.33333333333334,3
Widzew Łódź (POL),3.0,0.0,196.0,1
Wolverhampton Wanderers FC (ENG),11.666666666666666,1.0,189.33333333333334,3
ZED FC (EGY),9.0,1.0,174.0,2
Zamalek SC (EGY),17.333333333333332,1.0,186.33333333333334,3
Çaykur Rizespor (TUR),36.0,0.0,194.0,1
Étoile Du Sahel (TUN),1.0,0.0,189.0,1
